4.0 , 292 , Ghenet Brooklyn ,  Bagels
4.0 , 326 , Ponty Bistro ,  Bagels
4.0 , 41 , B&B African-American ,  Bagels
3.5 , 459 , Madiba Restaurant ,  Bagels
3.5 , 324 , Braai ,  Bagels
3.5 , 296 , Nomad ,  Bagels
4.0 , 91 , Cafe Rue Dix ,  Bagels
3.5 , 96 , Joloff Restaurant ,  Bagels
4.0 , 46 , Keur Sokhna Restaurant ,  Bagels
4.0 , 12 , Abidjan ,  Bagels
4.0 , 127 , Massawa ,  Bagels
3.5 , 69 , Africa Kine Restaurant ,  Bagels
3.0 , 284 , Xai Xai South African Wine Bar ,  Bagels
4.0 , 12 , La Savane ,  Bagels
4.5 , 13 , Ebe Ye Yie ,  Bagels
4.0 , 313 , Mesob Ethiopian Restaurant ,  Bagels
4.5 , 13 , B & D Halal Restaurant ,  Bagels
5.0 , 11 , Le Marecage ,  Bagels
3.5 , 77 , Buka New York ,  Bagels
4.5 , 9 , Farafina Cafe & Lounge Harlem ,  Bagels
4.0 , 870 , The Little Owl ,  Bagels
4.5 , 1542 , Gramercy Tavern ,  Bagels
4.5 , 121 , Bondurants ,  Bagels
4.0 , 529 , Westville ,  Bagels
4.5 , 76 , The Eddy ,  Bagels
4.5 , 96 , The Heath ,  Bagels
4.0 , 427 , Brindle Room ,  Bagels
4.0 , 237 , Distilled ,  Bagels
4.0 , 687 , Westville ,  Bagels
4.5 , 175 , Lot 2 ,  Bagels
4.0 , 550 , Market Table ,  Bagels
4.0 , 1098 , Perilla ,  Bagels
4.0 , 510 , Marc Forgione ,  Bagels
4.0 , 150 , Ichabod's ,  Bagels
4.0 , 136 , Parker & Quinn ,  Bagels
4.5 , 909 , Gotham Bar And Grill ,  Bagels
4.0 , 724 , Salt & Fat ,  Bagels
4.5 , 195 , Battersby ,  Bagels
4.0 , 122 , B4 ,  Bagels
4.0 , 1107 , Freemans ,  Bagels
4.0 , 170 , Porteno Restaurant ,  Bagels
4.0 , 351 , El Almacen ,  Bagels
4.0 , 59 , La Fusta Restaurant ,  Bagels
4.0 , 253 , Buenos Aires ,  Bagels
4.0 , 133 , Choripan Rodizio ,  Bagels
3.5 , 98 , Cafe Argentino ,  Bagels
3.5 , 240 , Libertador ,  Bagels
4.0 , 65 , Libertador ,  Bagels
4.5 , 22 , Balvanera ,  Bagels
3.5 , 158 , Novecento ,  Bagels
4.0 , 68 , El Gauchito ,  Bagels
4.5 , 41 , Stella's Empanadas ,  Bagels
3.5 , 74 , Pampas Argentinas ,  Bagels
4.0 , 83 , La Cabana Argentinan Steakhouse ,  Bagels
4.5 , 62 , La Esquina Criolla ,  Bagels
4.0 , 161 , Chimichurri Grill ,  Bagels
4.0 , 128 , La Fusta Restaurant ,  Bagels
4.0 , 63 , Puerto Madero Steakhouse ,  Bagels
5.0 , 22 , Argentina Bakery Inc ,  Bagels
3.5 , 67 , Estancia 460 ,  Bagels
4.5 , 624 , Absolute Bagels ,  Bagels
4.0 , 1227 , Ess-A-Bagel ,  Bagels
4.5 , 336 , Best Bagel and Coffee ,  Bagels
4.0 , 212 , Wonder Bagels ,  Bagels
4.0 , 559 , Ess-a-Bagel ,  Bagels
4.0 , 516 , Brooklyn Bagel & Coffee Company ,  Bagels
4.0 , 287 , H & H Midtown Bagels East ,  Bagels
4.5 , 324 , Brooklyn Bagel & Coffee Company ,  Bagels
4.0 , 231 , Bagels on the Square ,  Bagels
4.0 , 254 , The Bagel Store ,  Bagels
4.0 , 258 , Bagelsmith ,  Bagels
3.5 , 456 , Murray's Bagels ,  Bagels
4.0 , 320 , Tompkins Square Bagels ,  Bagels
3.5 , 271 , Leo's Bagels ,  Bagels
4.0 , 169 , Bergen Bagels ,  Bagels
4.0 , 117 , New York City Bagel Coffee House ,  Bagels
4.0 , 142 , Bagel Works ,  Bagels
4.5 , 57 , Graso Grill ,  Bagels
4.0 , 118 , Bagel & Schmear ,  Bagels
3.5 , 103 , Hoboken Hot Bagels ,  Bagels
4.0 , 292 , Ghenet Brooklyn ,  BBQ
4.0 , 326 , Ponty Bistro ,  BBQ
4.0 , 41 , B&B African-American ,  BBQ
3.5 , 459 , Madiba Restaurant ,  BBQ
3.5 , 324 , Braai ,  BBQ
3.5 , 296 , Nomad ,  BBQ
4.0 , 91 , Cafe Rue Dix ,  BBQ
3.5 , 96 , Joloff Restaurant ,  BBQ
4.0 , 46 , Keur Sokhna Restaurant ,  BBQ
4.0 , 12 , Abidjan ,  BBQ
4.0 , 127 , Massawa ,  BBQ
3.5 , 69 , Africa Kine Restaurant ,  BBQ
3.0 , 284 , Xai Xai South African Wine Bar ,  BBQ
4.0 , 12 , La Savane ,  BBQ
4.5 , 13 , Ebe Ye Yie ,  BBQ
4.0 , 313 , Mesob Ethiopian Restaurant ,  BBQ
4.5 , 13 , B & D Halal Restaurant ,  BBQ
5.0 , 11 , Le Marecage ,  BBQ
3.5 , 77 , Buka New York ,  BBQ
4.5 , 9 , Farafina Cafe & Lounge Harlem ,  BBQ
4.0 , 870 , The Little Owl ,  BBQ
4.5 , 1542 , Gramercy Tavern ,  BBQ
4.5 , 121 , Bondurants ,  BBQ
4.0 , 529 , Westville ,  BBQ
4.5 , 76 , The Eddy ,  BBQ
4.5 , 96 , The Heath ,  BBQ
4.0 , 427 , Brindle Room ,  BBQ
4.0 , 237 , Distilled ,  BBQ
4.0 , 687 , Westville ,  BBQ
4.5 , 175 , Lot 2 ,  BBQ
4.0 , 550 , Market Table ,  BBQ
4.0 , 1098 , Perilla ,  BBQ
4.0 , 510 , Marc Forgione ,  BBQ
4.0 , 150 , Ichabod's ,  BBQ
4.0 , 136 , Parker & Quinn ,  BBQ
4.5 , 909 , Gotham Bar And Grill ,  BBQ
4.0 , 724 , Salt & Fat ,  BBQ
4.5 , 195 , Battersby ,  BBQ
4.0 , 122 , B4 ,  BBQ
4.0 , 1107 , Freemans ,  BBQ
4.0 , 170 , Porteno Restaurant ,  BBQ
4.0 , 351 , El Almacen ,  BBQ
4.0 , 59 , La Fusta Restaurant ,  BBQ
4.0 , 253 , Buenos Aires ,  BBQ
4.0 , 133 , Choripan Rodizio ,  BBQ
3.5 , 98 , Cafe Argentino ,  BBQ
3.5 , 240 , Libertador ,  BBQ
4.0 , 65 , Libertador ,  BBQ
4.5 , 22 , Balvanera ,  BBQ
3.5 , 158 , Novecento ,  BBQ
4.0 , 68 , El Gauchito ,  BBQ
4.5 , 41 , Stella's Empanadas ,  BBQ
3.5 , 74 , Pampas Argentinas ,  BBQ
4.0 , 83 , La Cabana Argentinan Steakhouse ,  BBQ
4.5 , 62 , La Esquina Criolla ,  BBQ
4.0 , 161 , Chimichurri Grill ,  BBQ
4.0 , 128 , La Fusta Restaurant ,  BBQ
4.0 , 63 , Puerto Madero Steakhouse ,  BBQ
5.0 , 22 , Argentina Bakery Inc ,  BBQ
3.5 , 67 , Estancia 460 ,  BBQ
4.5 , 624 , Absolute Bagels ,  BBQ
4.0 , 1227 , Ess-A-Bagel ,  BBQ
4.5 , 336 , Best Bagel and Coffee ,  BBQ
4.0 , 212 , Wonder Bagels ,  BBQ
4.0 , 559 , Ess-a-Bagel ,  BBQ
4.0 , 516 , Brooklyn Bagel & Coffee Company ,  BBQ
4.0 , 287 , H & H Midtown Bagels East ,  BBQ
4.5 , 324 , Brooklyn Bagel & Coffee Company ,  BBQ
4.0 , 231 , Bagels on the Square ,  BBQ
4.0 , 254 , The Bagel Store ,  BBQ
4.0 , 258 , Bagelsmith ,  BBQ
3.5 , 456 , Murray's Bagels ,  BBQ
4.0 , 320 , Tompkins Square Bagels ,  BBQ
3.5 , 271 , Leo's Bagels ,  BBQ
4.0 , 169 , Bergen Bagels ,  BBQ
4.0 , 117 , New York City Bagel Coffee House ,  BBQ
4.0 , 142 , Bagel Works ,  BBQ
4.5 , 57 , Graso Grill ,  BBQ
4.0 , 118 , Bagel & Schmear ,  BBQ
3.5 , 103 , Hoboken Hot Bagels ,  BBQ
4.0 , 846 , Mighty Quinn's Barbeque ,  BBQ
4.5 , 139 , Brooklyn Ice House ,  BBQ
