TOON THAI CAFE,10016,Thai,2126448989
PASIONES BAR,11368,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",3475809312
2058 DELI AND GROCERY,10035,Delicatessen,6466449734
CAFFE BENE,10032,American ,2122838886
CAFFE BENE,10032,American ,2122838886
J & J HOT FOOD AND SALAD,11219,Delicatessen,7184381176
J & J HOT FOOD AND SALAD,11219,Delicatessen,7184381176
MEASURE LOUNGE,10018,American ,2126954005
MEASURE LOUNGE,10018,American ,2126954005
SMITH FOOD EXPRESS,11201,Delicatessen,7188550405
TAQUERIA EL PUENTE,11209,Tex-Mex,7189212580
BOBA LIFE,10013,Café/Coffee/Tea,3474211263
MA DUKES,10030,American ,6463602239
THE LIVING ROOM STEAK HOUSE,11214,Steak,7182662819
RESTAURANTE EL CANTINERO POBLANO,10454,Mexican,3474590330
BOOM SUSHI,10011,Japanese,6468386494
NAPLES  45  RESTAURANT,10003,Italian,2129727001
AIRPORT DELI,11370,Delicatessen,7186728584
SMITH FOOD EXPRESS,11201,Delicatessen,7188550405
CAFE CONDESA,10014,French,2123520050
China Star,10003,Chinese,2127773888
SMITH FOOD EXPRESS,11201,Delicatessen,7188550405
CAPITOL INTERNATIONAL,10451,African,7188855723
FANTASTIC BAGELS,11209,Delicatessen,7182380733
TUE THAI FOOD,10014,Thai,2129299888
MARCUS VINEYARD,11216,American ,3477709798
J & J HOT FOOD AND SALAD,11219,Delicatessen,7184381176
LA NUEVA VEGA,11237,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",6463776694
AIRPORT DELI,11370,Delicatessen,7186728584
ROTISSERIE BARBEQUE CHICKEN AND PIZZA INC,11434,American ,5164681307
GOOD GOOD TASTE,10002,Chinese,2129644888
TAQUERIA EL PUENTE,11209,Tex-Mex,7189212580
EL GRAN VALLE IV RESTAURANT,10032,Spanish,2123687100
HEARTLAND BREWERY,10003,American ,2126453400
ALE HOUSE CITY ISLAND,10464,American ,7188851813
PIZZA PORT,11420,Pizza,7188437533
PAUL & JIMMY'S RESTAURANT,10003,Italian,2124759540
LA BONANZA BAKERY,11417,Bakery,7188486438
GLASSERIE,11222,Mediterranean,7183890640
TEAUS,10001,Café/Coffee/Tea,9174029047
SUBWAY,11234,Sandwiches,7186771060
THE PARLOUR,10024,American ,2125808923
HOPS HILL,11238,Delicatessen,3479874334
PAUL & JIMMY'S RESTAURANT,10003,Italian,2124759540
FOURTH STREET CENTRAL,10003,Café/Coffee/Tea,2125390115
ALE HOUSE CITY ISLAND,10464,American ,7188851813
PIZZA PORT,11420,Pizza,7188437533
HONG KONG CAFE / FRESH SANDWICH BAKERY (basement food court restaurant & 1st fl bakery),11354,Chinese,9173566919
HOLLAND BAR,10018,American ,2125024609
J & C SEAFOOD,11412,Seafood,7184546247
HEALTHY EATS,10001,"Juice, Smoothies, Fruit Salads",2129671653
HEALTHY EATS,10001,"Juice, Smoothies, Fruit Salads",2129671653
LABADEE MANOIR,11428,Caribbean,7184644400
SKYTOWN,11206,American ,3474353252
PAUL & JIMMY'S RESTAURANT,10003,Italian,2124759540
REGENCY WHIST CLUB,10065,American ,2127341734
THE PARLOUR,10024,American ,2125808923
Maman,10013,French,2122260700
PIZZA PORT,11420,Pizza,7188437533
PIZZA PORT,11420,Pizza,7188437533
FRESH & CO,10028,American ,2129833747
FRESH & CO,10028,American ,2129833747
HOLLAND BAR,10018,American ,2125024609
LA VILLA CAFE,11205,Spanish,7184227892
LA VILLA CAFE,11205,Spanish,7184227892
LIT LOUNGE NYC,10003,American ,2127777987
MOON PALACE KITCHEN,11378,Chinese,9178535662
MOON PALACE KITCHEN,11378,Chinese,9178535662
LIT LOUNGE NYC,10003,American ,2127777987
MILOSUN SUSHI,10003,Asian,6465592930
MILOSUN SUSHI,10003,Asian,6465592930
MILOSUN SUSHI,10003,Asian,6465592930
JFK SHAWARMA MIDDLE EASTERN CUISINE & BAKERY,11420,Middle Eastern,7186591100
TAQUERIA RESTAURANTE MI BARIO,11218,Mexican,7189729669
HOP WON EXPRESS,10017,Chinese,2126614280
FAIR FOLKS AND A GOAT,10003,Café/Coffee/Tea,2154106821
DIRTY FRENCH,10002,French,2122543000
EL FOGON RESTAURANT,11385,Spanish,7184562555
POURING RIBBONS,10009,American ,9176566788
J & C SEAFOOD,11412,Seafood,7184546247
J & C SEAFOOD,11412,Seafood,7184546247
POMMES FRITES,10003,American ,2126761234
DIRTY FRENCH,10002,French,2122543000
BAGEL BOB'S,10003,Bagels/Pretzels,2125332627
LA BONANZA BAKERY,11417,Bakery,7188486438
BON SOIR CATERERS,11234,American ,7187639420
ISE RESTAURANT,10005,Japanese,2127851600
ISE RESTAURANT,10005,Japanese,2127851600
BAGEL BOB'S,10003,Bagels/Pretzels,2125332627
HOLLAND BAR,10018,American ,2125024609
NEW TOPPS BAKERY & RESTAURANT,11236,Bakery,3477134641
IFH EL BUFFET RESTAURANT  ALBERTO'S MOFONGO HOUSE,10040,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",2129425656
IFH EL BUFFET RESTAURANT  ALBERTO'S MOFONGO HOUSE,10040,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",2129425656
LABADEE MANOIR,11428,Caribbean,7184644400
ISE RESTAURANT,10005,Japanese,2127851600
MEASURE LOUNGE,10018,American ,2126954005
MEASURE LOUNGE,10018,American ,2126954005
CHA-AN TEAHOUSE,10003,Japanese,2122288030
CHA-AN TEAHOUSE,10003,Japanese,2122288030
HAI CHENG RESTAURANT,10026,American ,3479231028
JS PERRY'S DINER,10455,American ,7182924385
GOLDEN BOWL RESTAURANT,10002,Chinese,9178067488
GOLDEN BOWL RESTAURANT,10002,Chinese,9178067488
AIRPORT DELI,11370,Delicatessen,7186728584
NEW WONG RESTAURANT,10002,Chinese,6468789474
IFH EL BUFFET RESTAURANT  ALBERTO'S MOFONGO HOUSE,10040,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",2129425656
NEW WONG RESTAURANT,10002,Chinese,6468789474
U.S. KENNEDY FRIED CHICKEN PIZZA,10459,Chicken,3472697870
ISE RESTAURANT,10005,Japanese,2127851600
POURING RIBBONS,10009,American ,9176566788
AROMA,10003,Italian,2123750100
LOPEZ'S PIZZERIA AND COFFEE SHOP,10455,Pizza/Italian,7189919667
LE GLACIER,10005,American ,3474279132
UNCLE SAM'S BAR & RESTAURANT,11232,Mexican,3473215793
VIC'S,10012,American ,2122535700
VIC'S,10012,American ,2122535700
CASSIDY'S ALE HOUSE,11370,American ,7184246549
D & Y RESTAURANT,11220,Chinese,7184928808
EATERY RESTAURANT,10019,American ,2127657080
LUTZINA BAR & LOUNGE,11214,American ,7186760488
CAMPO BELLO RESTAURANT 2 CORP,11209,Spanish,9177237243
Yorganic/Caffe Bene,10018,Café/Coffee/Tea,7184405850
BAMBOO RESTAURANT,10002,Chinese,2122330383
JR RESTAURANT AT JAMAICIA,11354,Chinese,7188860083
JR RESTAURANT AT JAMAICIA,11354,Chinese,7188860083
MCDONALD'S,10036,Hamburgers,2129442720
BAMBOO RESTAURANT,10002,Chinese,2122330383
TORTAS DON PACOS,10035,Mexican,2128760700
LIT LOUNGE NYC,10003,American ,2127777987
PAUL & JIMMY'S RESTAURANT,10003,Italian,2124759540
PAUL & JIMMY'S RESTAURANT,10003,Italian,2124759540
MI TIERRA RESTAURANT,10031,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",2126907505
MI TIERRA RESTAURANT,10031,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",2126907505
AROMA,10003,Italian,2123750100
AGODA ASIAN CUISINE,10007,Chinese/Japanese,2126191655
New NYC Yoan Ming Garden,10029,Chinese,2124269545
New NYC Yoan Ming Garden,10029,Chinese,2124269545
ORO BAR RESTAURANT,10459,Spanish,3477264534
JFK SHAWARMA MIDDLE EASTERN CUISINE & BAKERY,11420,Middle Eastern,7186591100
FRESH & CO,10028,American ,2129833747
MCDONALD'S,10036,Hamburgers,2129442720
LABADEE MANOIR,11428,Caribbean,7184644400
